sampleid,location,county,state,full_state,date_collect,sampletype,collection,consumed,expectedsubstance,expect_opioid,expect_fentanyl,expect_xylazine,expect_stimulant,expect_benzo,expect_meth,expect_cocaine,expect_cannabis,expect_hall,color,bright_color,texture,tar,pill,powder,plant,crystals,lustre,sensations,sen_strength,sen_weird,sen_hall,sen_up,sen_down,sen_nice,sen_long,sen_burn,sen_skin,sen_seizure,overdose,od,fatal_od,confirmatory,date_complete,lab_num_substances_any,lab_num_substances,lab_null,lab_fentanyl,lab_fentanyl_any,lab_xylazine,lab_xylazine_any,lab_xylazine_trace,lab_meth,lab_meth_any,lab_cocaine,lab_cocaine_any,lab_caffeine,lab_gabapentin,lab_levamisole_any,lab_mdma,lab_tramadol,lab_carfentanil,lab_carfentanil_any,lab_ketamine_any,lab_ketamine,lab_btmps_any,lab_btmps,lab_opioid,lab_opioid_any,lab_synthetic_cannabinoid,lab_synthetic_cannabinoid_any,lab_potent_benzodiazepine,lab_potent_benzodiazepine_any,lab_benzodiazepine,lab_benzodiazepine_any,lab_nitazene,lab_nitazene_any,state_county,statefips,countyfips_3,countyfips
"500175","Roanoke","","VA","Virginia","15jun2023","syringe","syringe","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"white",0,"powder",,,1,,,"","weird","",1,,,,,,,,,"not overdose related",0,,0,"30jun2023",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VA | ",,,
"602521","Martinsville","","VA","Virginia","15dec2024","swab","swab","taken","unknown",0,0,0,0,0,0,0,0,0,"black; light brown",0,"powder",,,1,,,"","","",,,,,,,,,,"involved in OD",1,,0,"07jan2025",13,7,,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,"VA | ",,,
"602522","Martinsville","","VA","Virginia","15dec2024","swab","swab","unused","unknown",0,0,0,0,0,0,0,0,0,"white",0,"powder",,,1,,,"","","",,,,,,,,,,"unknown",,,0,"07jan2025",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VA | ",,,
"602523","Roanoke","","VA","Virginia","15dec2024","syringe","syringe","taken","heroin",1,0,0,0,0,0,0,0,0,"brown",0,"liquid",,,,,,"","","",,,,,,,,,,"involved in OD",1,,0,"08jan2025",16,4,,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,"VA | ",,,
"602524","Martinsville","","VA","Virginia","15dec2024","swab","swab","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"gray; light brown",0,"powder; dull",,,1,,,"dull","","",,,,,,,,,,"unknown",,,0,"23dec2024",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VA | ",,,
"602525","Roanoke","","VA","Virginia","25oct2024","unknown","unknown","taken","unknown",0,0,0,0,0,0,0,0,0,"blue",1,"",,,,,,"","","",,,,,,,,,1,"involved in OD",1,,0,"06nov2024",8,6,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,"VA | ",,,
"602526","Franklin County","Franklin County","VA","Virginia","25oct2024","unknown","unknown","taken","fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"powder",,,1,,,"","","",,,,,,,,,,"unknown",,,0,"15nov2024",1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"VA | FRANKLIN COUNTY",51,67,51067
"602527","Roanoke","","VA","Virginia","05dec2024","spatula","spatula","unused","heroin",1,0,0,0,0,0,0,0,0,"brown",0,"crystals; chunky",,,,,1,"","","",,,,,,,,,,"unknown",,,0,"09jan2025",7,3,,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"VA | ",,,
"602528","Roanoke","","VA","Virginia","27nov2024","unknown","unknown","unused","fentanyl",1,1,0,0,0,0,0,0,0,"translucent; white",1,"powder",,,1,,,"","","",,,,,,,,,,"unknown",,,0,"09jan2025",2,2,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"VA | ",,,
"602529","Roanoke","","VA","Virginia","05dec2024","unknown","unknown","unused","heroin; unknown",1,0,0,0,0,0,0,0,0,"tan; white",0,"powder",,,1,,,"","","",,,,,,,,,,"not overdose related",0,,0,"09jan2025",6,3,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"VA | ",,,
"602670","Roanoke","","VA","Virginia","22jan2025","swab","swab","unused","heroin",1,0,0,0,0,0,0,0,0,"brown",0,"powder; dull",,,1,,,"dull","","",,,,,,,,,,"unknown",,,0,"24mar2025",4,4,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,"VA | ",,,
"602671","Roanoke","","VA","Virginia","22jan2025","swab","swab","unused","methamphetamine",0,0,0,1,0,1,0,0,0,"white",0,"powder",,,1,,,"","","",,,,,,,,,,"not overdose related",0,,0,"30jan2025",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VA | ",,,
"602672","Roanoke","","VA","Virginia","04mar2025","swab","swab","unused","unknown",0,0,0,0,0,0,0,0,0,"clear",0,"crystals; chunky",,,,,1,"","","",,,,,,,,,,"not overdose related",0,,0,"20mar2025",2,2,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VA | ",,,
"602673","Roanoke","","VA","Virginia","04mar2025","swab","swab","unused","unknown",0,0,0,0,0,0,0,0,0,"",0,"powder",,,1,,,"","","",,,,,,,,,,"not overdose related",0,,0,"20mar2025",2,2,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,"VA | ",,,
"602674","Roanoke","","VA","Virginia","04mar2025","swab","swab","taken","heroin",1,0,0,0,0,0,0,0,0,"pink; light purple",1,"powder",,,1,,,"","stronger","stronger",,,,,,,,,,"not overdose related",0,,0,"20mar2025",3,3,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,"VA | ",,,
"602675","Martinsville","","VA","Virginia","26jan2025","spatula; swab","multiple methods","unused","methamphetamine",0,0,0,1,0,1,0,0,0,"clear; white",0,"crystals",,,,,1,"","","",,,,,,,,,,"unknown",,,0,"30jan2025",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VA | ",,,
"602676","Martinsville","","VA","Virginia","26dec2024","swab","swab","unused","methamphetamine",0,0,0,1,0,1,0,0,0,"white",0,"crystals",,,,,1,"","","",,,,,,,,,,"not overdose related",0,,0,"09jan2025",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VA | ",,,
"602677","Roanoke","","VA","Virginia","22jan2025","swab","swab","unused","methamphetamine",0,0,0,1,0,1,0,0,0,"white",0,"powder",,,1,,,"","","",,,,,,,,,,"unknown",,,0,"30jan2025",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VA | ",,,
"602678","Franklin County","Franklin County","VA","Virginia","26dec2024","spatula","spatula","unused","unknown",0,0,0,0,0,0,0,0,0,"clear; white",0,"crystals; powder",,,1,,1,"","","",,,,,,,,,,"unknown",,,0,"31jan2025",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VA | FRANKLIN COUNTY",51,67,51067
"602679","Roanoke","","VA","Virginia","26dec2024","spatula; swab","multiple methods","unused","unknown",0,0,0,0,0,0,0,0,0,"white",0,"crystals; flaky; shiny",,,,,1,"shiny","","",,,,,,,,,,"unknown",,,0,"30jan2025",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VA | ",,,
"602685","Roanoke City","","VA","Virginia","14apr2025","cotton","cotton","taken","heroin; fentanyl",1,1,0,0,0,0,0,0,0,"",0,"",,,,,,"","","",,,,,,,,,,"unknown",,,0,"23apr2025",19,5,,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,"VA | ",,,
"602686","Martinsville","","VA","Virginia","11mar2025","spatula","spatula","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"white",0,"crystals",,,,,1,"","normal","normal",,,,,,,,,,"not overdose related",0,,0,"21apr2025",2,2,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VA | ",,,
"602687","Roanoke City","","VA","Virginia","14apr2025","spatula","spatula","taken","heroin; fentanyl",1,1,0,0,0,0,0,0,0,"dark brown",0,"tar",1,,,,,"","stronger; more down","stronger",,,,1,,,,,,"unknown",,,0,"23apr2025",6,3,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"VA | ",,,
"602688","Roanoke City","","VA","Virginia","14apr2025","spatula","spatula","taken","heroin",1,0,0,0,0,0,0,0,0,"light brown; white",0,"fine; powder; dull",,,1,,,"dull","more up","",,,1,,,,,,,"not overdose related",0,,0,"23apr2025",12,5,,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,"VA | ",,,
"602689","Roanoke","","VA","Virginia","04mar2025","swab","swab","taken","heroin",1,0,0,0,0,0,0,0,0,"pink",1,"",,,,,,"","stronger","stronger",,,,,,,,,,"involved in OD",1,,0,"20mar2025",3,3,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,"VA | ",,,
"603305","Roanoke City","","VA","Virginia","14apr2025","unknown","unknown","taken","heroin; fentanyl",1,1,0,0,0,0,0,0,0,"brown",0,"rock; chunky",,,,,,"","","",,,,1,,,,,,"involved in OD",1,,0,"23apr2025",12,7,,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,"VA | ",,,
"603306","Roanoke City","","VA","Virginia","14apr2025","scoop","scoop","taken","heroin; fentanyl",1,1,1,0,0,0,0,0,0,"black; white",0,"fine; powder; shiny",,,1,,,"shiny","stronger","stronger",,,,,,,,,,"involved in OD",1,,0,"23apr2025",12,5,,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,"VA | ",,,
"603307","Roanoke City","","VA","Virginia","14apr2025","cotton","cotton","taken","heroin; fentanyl",1,1,0,0,0,0,0,0,0,"yellow",1,"fine; powder",,,1,,,"","stronger","stronger",,,,,,,,,,"unknown",,,0,"23apr2025",9,3,,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"VA | ",,,
"603308","Martinsville","","VA","Virginia","11apr2025","unknown","unknown","taken","fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"powder",,,1,,,"","more up; stronger","stronger",,,1,,,,,,,"not overdose related",0,,0,"23apr2025",6,4,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,"VA | ",,,
"603309","Martinsville","","VA","Virginia","11apr2025","unknown","unknown","taken","fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"powder",,,1,,,"","normal","normal",,,,,,,,,,"not overdose related",0,,0,"25apr2025",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VA | ",,,
"603566","Henry County","Henry County","VA","Virginia","03jun2025","swab","swab","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"white",0,"powder",,,1,,,"","weaker","weaker",,,,,,,,,,"not overdose related",0,,0,"11jun2025",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VA | HENRY COUNTY",51,89,51089
"603567","Martinsville","","VA","Virginia","03jun2025","swab","swab","taken","heroin",1,0,0,0,0,0,0,0,0,"black",0,"powder",,,1,,,"","unpleasant","",1,,,,,,1,,,"not overdose related",0,,0,"13jun2025",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VA | ",,,
"603569","Henry County","Henry County","VA","Virginia","03jun2025","scoop","scoop","taken","unknown",0,0,0,0,0,0,0,0,0,"white",0,"crystals; flaky",,,,,1,"","nice","",,,,,1,,,,,"not overdose related",0,,0,"13jun2025",8,8,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"VA | HENRY COUNTY",51,89,51089
"603570","Henry County","Henry County","VA","Virginia","03jun2025","unknown","unknown","taken","heroin; fentanyl",1,1,0,0,0,0,0,0,0,"pink",1,"powder",,,1,,,"","stronger","stronger",,,,,,,,,,"not overdose related",0,,0,"12jun2025",1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VA | HENRY COUNTY",51,89,51089
"603576","Henry County","Henry County","VA","Virginia","03jun2025","unknown","unknown","taken","heroin; fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"powder",,,1,,,"","","",,,,,,,,,,"not overdose related",0,,0,"13jun2025",3,2,,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"VA | HENRY COUNTY",51,89,51089
"603579","Henry County","Henry County","VA","Virginia","03jun2025","unknown","unknown","taken","heroin",1,0,0,0,0,0,0,0,0,"pink",1,"powder",,,1,,,"","","",,,,,,,,,,"not overdose related",0,,0,"12jun2025",5,2,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,"VA | HENRY COUNTY",51,89,51089
"603580","Henry County","Henry County","VA","Virginia","03jun2025","unknown","unknown","taken","unknown",0,0,0,0,0,0,0,0,0,"pink",1,"shards; flaky",,,,,1,"","nice; stronger","stronger",,,,,1,,,,,"not overdose related",0,,0,"11jun2025",1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VA | HENRY COUNTY",51,89,51089
"603586","Henry County","Henry County","VA","Virginia","03jun2025","unknown","unknown","taken","methamphetamine",0,0,0,1,0,1,0,0,0,"white",0,"powder",,,1,,,"","","",,,,,,,,,,"not overdose related",0,,0,"13jun2025",5,3,,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,"VA | HENRY COUNTY",51,89,51089
"603590","Henry County","Henry County","VA","Virginia","03jun2025","unknown","unknown","taken","cannabis",0,0,0,0,0,0,0,1,0,"green",1,"",,,,,,"","","",,,,,,,,,,"not overdose related",0,,0,"12jun2025",1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"VA | HENRY COUNTY",51,89,51089
