sampleid,db_id,program_id,county,state,full_state,date_collect,sampletype,collection,consumed,expectedsubstance,expect_opioid,expect_fentanyl,expect_xylazine,expect_stimulant,expect_benzo,expect_meth,expect_cocaine,expect_cannabis,expect_hall,color,bright_color,texture,tar,pill,powder,plant,crystals,lustre,sensations,sen_strength,sen_weird,sen_hall,sen_up,sen_down,sen_nice,sen_long,sen_burn,sen_skin,sen_seizure,texture_notes,sensation_notes,overdose,od,overdose_notes,fatal_od,confirmatory,date_complete,lab_num_substances_any,lab_num_substances,lab_null,lab_fentanyl,lab_fentanyl_any,lab_xylazine,lab_xylazine_any,lab_xylazine_trace,lab_meth,lab_meth_any,lab_cocaine,lab_cocaine_any,lab_caffeine,lab_gabapentin,lab_levamisole_any,lab_mdma,lab_tramadol,lab_carfentanil,lab_carfentanil_any,lab_ketamine_any,lab_ketamine,lab_btmps_any,lab_btmps,lab_opioid,lab_opioid_any,lab_synthetic_cannabinoid,lab_synthetic_cannabinoid_any,lab_potent_benzodiazepine,lab_potent_benzodiazepine_any,lab_benzodiazepine,lab_benzodiazepine_any,lab_nitazene,lab_nitazene_any,lab_meth_impurities_any,lab_mdma_impurities_any,lab_cocaine_impurities_any,lab_common_cuts_any,lab_heroin_impurities_any,lab_cannabinoids_any,lab_fentanyl_impurities_any,lab_pf_fent_impurities_any,lab_substituted_cathinones_any,state_county,statefips,countyfips_3,countyfips
"USUDMT32221",1,90,"Guilford County","NC","North Carolina","22mar2021","unknown","unknown","unused","DMT",0,0,0,0,0,0,0,0,1,"",0,"",,,,,,"","","",,,,,,,,,,,"","unknown",,,,0,"04mar2022",3,3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NC | GUILFORD COUNTY",37,81,37081
"NC210913_03",27,90,"Guilford County","NC","North Carolina","27aug2021","unknown","unknown","unused","methamphetamine",0,0,0,1,0,1,0,0,0,"clear",0,"grainy",,,,,,"","","",,,,,,,,,,,"","unknown",,,,0,"02mar2022",1,1,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NC | GUILFORD COUNTY",37,81,37081
"NC210913_09",28,90,"Guilford County","NC","North Carolina","27aug2021","spatula","spatula","unused","ketamine",0,0,0,0,0,0,0,0,1,"clear",0,"grainy",,,,,,"","","",,,,,,,,,,,"","unknown",,,,0,"03mar2022",2,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NC | GUILFORD COUNTY",37,81,37081
"NC210913_07",29,90,"Guilford County","NC","North Carolina","27aug2021","spatula","spatula","unused","psilocybin",0,0,0,0,0,0,0,0,1,"cloudy; white",0,"powder",,,1,,,"","","",,,,,,,,,,,"","unknown",,,,0,"03mar2022",5,3,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"NC | GUILFORD COUNTY",37,81,37081
"NC210913_02",30,90,"Guilford County","NC","North Carolina","29aug2021","unknown","unknown","unused","fentanyl",1,1,0,0,0,0,0,0,0,"clear",0,"",,,,,,"","","",,,,,,,,,,,"","unknown",,,,0,"02mar2022",9,5,,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"NC | GUILFORD COUNTY",37,81,37081
"NC210913_10",31,90,"Guilford County","NC","North Carolina","29aug2021","spatula","spatula","unused","unknown",0,0,0,0,0,0,0,0,0,"",0,"",,,,,,"","","",,,,,,,,,,,"","unknown",,,,0,"03mar2022",4,3,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"NC | GUILFORD COUNTY",37,81,37081
"NC210913_06",32,90,"Guilford County","NC","North Carolina","30aug2021","spatula","spatula","unused","fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"powder",,,1,,,"","","",,,,,,,,,,,"","unknown",,,,0,"21feb2022",4,4,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"NC | GUILFORD COUNTY",37,81,37081
"NC210913_05",33,90,"Guilford County","NC","North Carolina","30aug2021","spatula","spatula","unused","fentanyl",1,1,0,0,0,0,0,0,0,"yellow",1,"",,,,,,"","","",,,,,,,,,,,"","unknown",,,,0,"03mar2022",7,5,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,"NC | GUILFORD COUNTY",37,81,37081
"201082",44,90,"Guilford County","NC","North Carolina","11sep2021","spatula","spatula","unused","heroin; fentanyl",1,1,0,0,0,0,0,0,0,"",0,"spots; powder",,,1,,,"","","",,,,,,,,,,,"","unknown",,,,0,"26jan2022",8,7,,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"NC | GUILFORD COUNTY",37,81,37081
"201164",45,90,"Guilford County","NC","North Carolina","13sep2021","pill","pill","taken","Ecstasy",0,0,0,0,0,0,0,0,0,"blue",1,"pill",,1,,,,"","typical","normal",,,,,,,,,,,"","unknown",,,,0,"11feb2022",2,2,,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"NC | GUILFORD COUNTY",37,81,37081
"200737",46,41,"Guilford County","NC","North Carolina","17sep2021","spatula","spatula","taken","heroin; fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"chunky",,,,,,"","mellow","",,,,,,,,,,,"","unknown",,,,0,"27jan2022",3,2,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"NC | GUILFORD COUNTY",37,81,37081
"200521",47,90,"Guilford County","NC","North Carolina","21sep2021","spatula","spatula","taken","heroin; fentanyl",1,1,0,0,0,0,0,0,0,"",0,"powder",,,1,,,"","weird","",1,,,,,,,,,,"","unknown",,,,0,"03feb2022",2,1,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NC | GUILFORD COUNTY",37,81,37081
"200249",48,41,"Guilford County","NC","North Carolina","28sep2021","swab","swab","taken","heroin; fentanyl",1,1,0,0,0,0,0,0,0,"light brown",0,"powder",,,1,,,"","typical","normal",,,,,,,,,,,"","unknown",,,,0,"26jan2022",6,5,,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"NC | GUILFORD COUNTY",37,81,37081
"200489",50,90,"Guilford County","NC","North Carolina","04oct2021","unknown","unknown","unused","Heroin",1,0,0,0,0,0,0,0,0,"white",0,"",,,,,,"","","",,,,,,,,,,,"","unknown",,,,0,"11feb2022",5,3,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"NC | GUILFORD COUNTY",37,81,37081
"200479",51,90,"Guilford County","NC","North Carolina","04oct2021","spatula","spatula","taken","Heroin",1,0,0,0,0,0,0,0,0,"light brown",0,"powder; chunky",,,1,,,"","","",,,,,,,,,,,"","involved in OD",1,,,0,"11feb2022",4,2,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"NC | GUILFORD COUNTY",37,81,37081
"201089",52,90,"Guilford County","NC","North Carolina","07oct2021","spatula","spatula","taken","heroin; fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"powder",,,1,,,"","typical","normal",,,,,,,,,,,"","unknown",,,,0,"11feb2022",8,6,,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"NC | GUILFORD COUNTY",37,81,37081
"200476",53,90,"Wake County","NC","North Carolina","11oct2021","spatula","spatula","taken","heroin; fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"powder",,,1,,,"","typical","normal",,,,,,,,,,,"","unknown",,,,0,"11feb2022",2,2,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"NC | WAKE COUNTY",37,183,37183
"200376",54,90,"Guilford County","NC","North Carolina","11oct2021","unknown","unknown","taken","heroin",1,0,0,0,0,0,0,0,0,"white",0,"",,,,,,"","typical","normal",,,,,,,,,,,"","unknown",,,,0,"11feb2022",6,6,,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"NC | GUILFORD COUNTY",37,81,37081
"201193",55,90,"Wake County","NC","North Carolina","11oct2021","spatula","spatula","taken","heroin; fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"powder",,,1,,,"","stronger","stronger",,,,,,,,,,,"Strong. Supply has been the same.","unknown",,,,0,"18feb2022",15,11,,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,"NC | WAKE COUNTY",37,183,37183
"200353",56,90,"Guilford County","NC","North Carolina","12oct2021","spatula","spatula","taken","heroin",1,0,0,0,0,0,0,0,0,"light brown",0,"powder",,,1,,,"","typical","normal",,,,,,,,,,,"","unknown",,,,0,"18feb2022",8,7,,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,"NC | GUILFORD COUNTY",37,81,37081
"200445",57,90,"Guilford County","NC","North Carolina","15oct2021","spatula","spatula","taken","heroin; fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"powder",,,1,,,"","typical","normal",,,,,,,,,,,"","unknown",,,,0,"11feb2022",3,3,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"NC | GUILFORD COUNTY",37,81,37081
"200424",58,90,"Guilford County","NC","North Carolina","15oct2021","spatula","spatula","unused","heroin; fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"powder",,,1,,,"","","",,,,,,,,,,,"","unknown",,,,0,"11feb2022",7,7,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,"NC | GUILFORD COUNTY",37,81,37081
"200430",59,90,"Guilford County","NC","North Carolina","22oct2021","spatula","spatula","taken","heroin; fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"powder",,,1,,,"","typical; weird","normal",1,,,,,,,,,,"","unknown",,,,0,"03feb2022",3,3,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"NC | GUILFORD COUNTY",37,81,37081
"200116",60,90,"Guilford County","NC","North Carolina","29oct2021","spatula","spatula","unused","heroin",1,0,0,0,0,0,0,0,0,"light brown",0,"powder",,,1,,,"","","",,,,,,,,,,,"","unknown",,,,0,"03feb2022",10,10,,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,"NC | GUILFORD COUNTY",37,81,37081
"200902",61,90,"Guilford County","NC","North Carolina","04nov2021","spatula","spatula","taken","heroin; fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"powder",,,1,,,"","typical","normal",,,,,,,,,,,"","unknown",,,,0,"03feb2022",6,3,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"NC | GUILFORD COUNTY",37,81,37081
"201060",62,90,"Guilford County","NC","North Carolina","08nov2021","spatula","spatula","unused","heroin",1,0,0,0,0,0,0,0,0,"light brown",0,"powder",,,1,,,"","","",,,,,,,,,,,"","unknown",,,,0,"03feb2022",9,6,,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,"NC | GUILFORD COUNTY",37,81,37081
"200045",63,90,"Guilford County","NC","North Carolina","14nov2021","swab","swab","unused","cocaine",0,0,0,1,0,0,1,0,0,"white",0,"powder",,,1,,,"","","",,,,,,,,,,,"","unknown",,,,0,"03feb2022",5,5,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"NC | GUILFORD COUNTY",37,81,37081
"200031",64,90,"Guilford County","NC","North Carolina","17nov2021","spatula","spatula","unused","heroin",1,0,0,0,0,0,0,0,0,"white",0,"powder",,,1,,,"","","",,,,,,,,,,,"","unknown",,,,0,"03feb2022",3,2,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"NC | GUILFORD COUNTY",37,81,37081
"200236",65,90,"Guilford County","NC","North Carolina","19nov2021","spatula","spatula","taken","heroin; fentanyl",1,1,0,0,0,0,0,0,0,"brown; white",0,"spots; flaky; scaly",,,,,,"","weird","",1,,,,,,,,,,"","unknown",,,,0,"26jan2022",5,5,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,"NC | GUILFORD COUNTY",37,81,37081
"200864",66,90,"Guilford County","NC","North Carolina","22nov2021","spatula","spatula","unused","fentanyl",1,1,0,0,0,0,0,0,0,"white",0,"powder",,,1,,,"","","",,,,,,,,,,,"","unknown",,,,0,"27jan2022",6,4,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"NC | GUILFORD COUNTY",37,81,37081
