sampleid,db_id,program_id,substance,pubchemcid,cas,abundance,method,date_complete,gcms_peak,primary,trace,confirmatory,lab_null,lab_num_substances_any,lab_num_substances,lab_fentanyl,lab_fentanyl_any,lab_xylazine,lab_xylazine_any,lab_xylazine_trace,lab_meth,lab_meth_any,lab_cocaine,lab_cocaine_any,lab_caffeine,lab_gabapentin,lab_levamisole_any,lab_mdma,lab_tramadol,lab_carfentanil,lab_carfentanil_any,lab_ketamine_any,lab_ketamine,lab_btmps_any,lab_btmps,lab_opioid,lab_opioid_any,lab_synthetic_cannabinoid,lab_synthetic_cannabinoid_any,lab_potent_benzodiazepine,lab_potent_benzodiazepine_any,lab_benzodiazepine,lab_benzodiazepine_any,lab_nitazene,lab_nitazene_any,lab_meth_impurities_any,lab_mdma_impurities_any,lab_cocaine_impurities_any,lab_common_cuts_any,lab_heroin_impurities_any,lab_cannabinoids_any,lab_fentanyl_impurities_any,lab_pf_fent_impurities_any,lab_substituted_cathinones_any
"200445",3758900,90,"fentanyl",3345,"437-38-7","","GCMS","11feb2022",9.2700005,1,0,0,,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200476",3758903,90,"fentanyl",3345,"437-38-7","","GCMS","11feb2022",9.2700005,1,0,0,,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200479",3758905,90,"fentanyl",3345,"437-38-7","","GCMS","11feb2022",9.2600002,1,0,0,,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200489",3758909,90,"fentanyl",3345,"437-38-7","","GCMS","11feb2022",9.3199997,1,0,0,,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200521",3758842,90,"vitamin E acetate",86472,"58-95-7","","GCMS","03feb2022",11.12,1,0,0,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200737",3758797,41,"fentanyl",3345,"437-38-7","","GCMS","27jan2022",9.2700005,1,0,0,,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200864",3758800,90,"fentanyl",3345,"437-38-7","","GCMS","27jan2022",9.3100004,1,0,0,,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200886",3758806,90,"ketamine",3821,"6740-88-1","","GCMS","27jan2022",6.5599999,1,0,0,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200902",3758844,90,"fentanyl",3345,"437-38-7","","GCMS","03feb2022",9.3100004,1,0,0,,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"200913",3758808,90,"fentanyl",3345,"437-38-7","","GCMS","27jan2022",9.3000002,1,0,0,,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"201060",3758850,90,"fentanyl",3345,"437-38-7","","GCMS","03feb2022",9.2799997,1,0,0,,9,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"201082",3758776,90,"heroin",5462328,"561-27-3","","GCMS","26jan2022",8.9700003,1,0,0,,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"201089",3758917,90,"fentanyl",3345,"437-38-7","","GCMS","11feb2022",9.2799997,1,0,0,,8,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"201164",3758925,90,"methamphetamine",10836,"537-46-2","","GCMS","11feb2022",8.5,1,0,0,,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"201193",3758946,90,"xylazine",5707,"7361-61-7","","GCMS","18feb2022",6.9899998,1,0,0,,15,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300100",3759549,,"dimethyl sulfone (methylsulfonylmethane MSM)",6213,"67-71-0","","GCMS","09jun2022",2.3199999,1,0,0,,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300101",3760000,90,"3,4-MDMA",1615,"42542-10-9","trace","GCMS","04aug2022",,0,1,0,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300102",3759940,90,"ketamine",3821,"6740-88-1","","GCMS","04aug2022",6.3800001,1,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300103",3760002,90,"3,4-MDMA",1615,"42542-10-9","","GCMS","05aug2022",5.4499998,1,0,0,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300104",3759567,90,"methamphetamine",10836,"537-46-2","","GCMS","09jun2022",3.3199999,1,0,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300105",3759372,90,"cocaine",446220,"50-36-2","","GCMS","21apr2022",7.6300001,1,0,0,,5,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300106",3762417,90,"ketamine",3821,"6740-88-1","","GCMS","30jan2023",6.9200001,1,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300107",3759999,90,"no compounds of interest detected",,"","","GCMS","04aug2022",,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300108",3759377,90,"methamphetamine",10836,"537-46-2","","GCMS","21apr2022",3.3199999,1,0,0,,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300111",3759431,90,"fentanyl",3345,"437-38-7","","GCMS","03may2022",9.25,1,0,0,,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300112",3759283,90,"cocaine",446220,"50-36-2","","GCMS","29mar2022",7.6500001,1,0,0,,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300113",3759380,90,"no compounds of interest detected",,"","","GCMS","21apr2022",,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300115",3759381,90,"heroin",5462328,"561-27-3","","GCMS","21apr2022",8.9300003,1,0,0,,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300116",3759434,90,"p-fluorofentanyl",62300,"90736-23-5","","GCMS","03may2022",9.1199999,1,0,0,,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300117",3759942,90,"methyl ecgonidine (MED)",119478,"43021-26-7","","GCMS","04aug2022",4.4000001,1,0,0,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"300118",3759391,90,"3,4-MDMA",1615,"42542-10-9","","GCMS","21apr2022",5.1399999,1,0,0,,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300119",3759284,90,"fentanyl",3345,"437-38-7","","GCMS","29mar2022",9.2799997,1,0,0,,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300200",3761883,155,"4-ANPP",88890,"21409-26-7","","GCMS","06jan2023",9.0600004,1,0,0,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"300202",3761881,155,"4-ANPP",88890,"21409-26-7","","GCMS","06jan2023",9.1199999,1,0,0,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"300203",3760330,155,"caffeine",2519,"58-08-2","trace","GCMS","29aug2022",,0,1,0,,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"300204",3760608,155,"fentanyl",3345,"437-38-7","","GCMS","26sep2022",9.25,1,0,0,,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300209",3762188,155,"4-ANPP",88890,"21409-26-7","","GCMS","27jan2023",9.1400003,1,0,0,,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"300213",3760613,155,"caffeine",2519,"58-08-2","","GCMS","26sep2022",6.3499999,1,0,0,,6,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"300219",3761880,155,"no compounds of interest detected",,"","","GCMS","11jan2023",,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300226",3760368,155,"methamphetamine",10836,"537-46-2","","GCMS","02sep2022",3.3,1,0,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300229",3761889,155,"caffeine",2519,"58-08-2","","GCMS","06jan2023",6.71,1,0,0,,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"300230",3760369,155,"lidocaine",3676,"137-58-6","","GCMS","02sep2022",6.5,1,0,0,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"300235",3761886,155,"methamphetamine",10836,"537-46-2","","GCMS","06jan2023",3.6199999,1,0,0,,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300237",3761873,155,"methyl ecgonidine (MED)",119478,"43021-26-7","","GCMS","06jan2023",4.8200002,1,0,0,,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"300238",3760603,155,"fentanyl",3345,"437-38-7","","GCMS","26sep2022",9.2399998,1,0,0,,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300239",3760311,155,"xylazine",5707,"7361-61-7","trace","GCMS","29aug2022",,0,1,0,,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300242",3760320,155,"meconin",68437,"569-31-3","trace","GCMS","29aug2022",,0,1,0,,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"300245",3760315,155,"inositol",892,"551-72-4","","GCMS","30aug2022",6.1700001,1,0,0,,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"300251",3759954,90,"xylazine",5707,"7361-61-7","","GCMS","04aug2022",6.8000002,1,0,0,,3,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300258",3759568,90,"dimethyl sulfone (methylsulfonylmethane MSM)",6213,"67-71-0","","GCMS","09jun2022",2.3299999,1,0,0,,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300260",3759967,90,"dimethyl sulfone (methylsulfonylmethane MSM)",6213,"67-71-0","trace","GCMS","05aug2022",,0,1,0,,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300262",3759961,90,"xylazine",5707,"7361-61-7","","GCMS","04aug2022",6.8000002,1,0,0,,6,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300263",3759574,90,"methamphetamine",10836,"537-46-2","","GCMS","09jun2022",3.3299999,1,0,0,,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300264",3759576,90,"3,4-MDMA",1615,"42542-10-9","","GCMS","09jun2022",5.1300001,1,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300267",3759941,90,"cocaine",446220,"50-36-2","","GCMS","04aug2022",7.5100002,1,0,0,,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300268",3760057,41,"lidocaine",3676,"137-58-6","trace","GCMS","05aug2022",,0,1,0,,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"300270",3759944,90,"methamphetamine",10836,"537-46-2","trace","GCMS","04aug2022",,0,1,0,,10,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300271",3759957,90,"fentanyl",3345,"437-38-7","","GCMS","04aug2022",9.1000004,1,0,0,,4,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300274",3759577,90,"xylazine",5707,"7361-61-7","","GCMS","09jun2022",2.9000001,1,0,0,,5,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300276",3759582,90,"methamphetamine",10836,"537-46-2","","GCMS","09jun2022",3.3199999,1,0,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300280",3759583,90,"methamphetamine",10836,"537-46-2","trace","GCMS","09jun2022",,0,1,0,,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300290",3759586,90,"methamphetamine",10836,"537-46-2","","GCMS","09jun2022",3.3199999,1,0,0,,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300291",3759987,90,"lidocaine",3676,"137-58-6","trace","GCMS","04aug2022",,0,1,0,,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"300295",3760052,41,"4-ANPP",88890,"21409-26-7","","GCMS","05aug2022",8.2700005,1,0,0,,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"300297",3759631,90,"dimethyl sulfone (methylsulfonylmethane MSM)",6213,"67-71-0","trace","GCMS","09jun2022",,0,1,0,,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300298",3759587,90,"dimethyl sulfone (methylsulfonylmethane MSM)",6213,"67-71-0","trace","GCMS","09jun2022",,0,1,0,,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300302",3760035,41,"caffeine",2519,"58-08-2","trace","GCMS","05aug2022",,0,1,0,,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"300303",3759669,73,"xylazine",5707,"7361-61-7","","GCMS","17jul2022",6.8299999,1,0,0,,4,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300304",3759704,74,"xylazine",5707,"7361-61-7","","GCMS","17jul2022",6.8200002,1,0,0,,4,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300306",3762043,96,"fentanyl",3345,"437-38-7","","GCMS","10jan2023",10.2,1,0,0,,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300307",3760029,41,"lidocaine",3676,"137-58-6","","GCMS","05aug2022",6.4000001,1,0,0,,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"300308",3759615,74,"xylazine",5707,"7361-61-7","","GCMS","17jun2022",6.9299998,1,0,0,,4,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300309",3760189,9,"clonazolam",12317881,"33887-02-4","","GCMS","16aug2022",12.04,1,0,0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"300310",3760810,41,"methamphetamine",10836,"537-46-2","trace","GCMS","19oct2022",,0,1,0,,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300313",3761330,90,"xylazine",5707,"7361-61-7","","GCMS","23nov2022",7.21,1,0,0,,7,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300314",3762390,90,"cocaine",446220,"50-36-2","","GCMS","30jan2023",8.3100004,1,0,0,,7,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"300315",3760813,90,"heroin",5462328,"561-27-3","","GCMS","11oct2022",8.9300003,1,0,0,,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
